dimension,k,r,model_volume,euclidean_volume_same_dim,ratio_to_euclidean
2,0.0,0.6348101265822785,1.2660112497377083,1.2660112497377083,1.0
2,0.0,0.6626582278481014,1.3795233701325966,1.3795233701325966,1.0
2,0.0,0.6905063291139242,1.4979082059395585,1.4979082059395585,1.0
2,0.0,0.7183544303797469,1.621165757158593,1.621165757158593,1.0
2,0.0,0.7462025316455697,1.749296023789701,1.749296023789701,1.0
2,0.0,0.7740506329113925,1.8822990058328828,1.8822990058328828,1.0
2,0.0,0.8018987341772154,2.020174703288138,2.020174703288138,1.0
2,0.0,0.8297468354430381,2.1629231161554654,2.1629231161554654,1.0
2,0.0,0.8575949367088609,2.3105442444348667,2.3105442444348667,1.0
2,0.0,0.8854430379746837,2.463038088126341,2.463038088126341,1.0
2,0.0,0.9132911392405064,2.6204046472298885,2.6204046472298885,1.0
2,0.0,0.9411392405063292,2.78264392174551,2.78264392174551,1.0
2,0.0,0.9689873417721521,2.9497559116732046,2.9497559116732046,1.0
2,0.0,0.9968354430379748,3.121740617012972,3.121740617012972,1.0
2,0.0,1.0246835443037976,3.2985980377648123,3.2985980377648123,1.0
2,0.0,1.0525316455696203,3.480328173928726,3.480328173928726,1.0
2,0.0,1.0803797468354432,3.6669310255047143,3.6669310255047143,1.0
2,0.0,1.108227848101266,3.8584065924927744,3.8584065924927744,1.0
2,0.0,1.1360759493670887,4.054754874892907,4.054754874892907,1.0
2,0.0,1.1639240506329116,4.255975872705116,4.255975872705116,1.0
2,0.0,1.1917721518987343,4.462069585929395,4.462069585929395,1.0
2,0.0,1.219620253164557,4.673036014565748,4.673036014565748,1.0
2,0.0,1.24746835443038,4.888875158614176,4.888875158614176,1.0
2,0.0,1.2753164556962027,5.109587018074676,5.109587018074676,1.0
2,0.0,1.3031645569620254,5.3351715929472485,5.3351715929472485,1.0
2,0.0,1.3310126582278483,5.565628883231896,5.565628883231896,1.0
2,0.0,1.358860759493671,5.800958888928616,5.800958888928616,1.0
2,0.0,1.3867088607594937,6.041161610037407,6.041161610037407,1.0
2,0.0,1.4145569620253167,6.286237046558275,6.286237046558275,1.0
2,0.0,1.4424050632911394,6.536185198491213,6.536185198491213,1.0
2,0.0,1.4702531645569623,6.791006065836228,6.791006065836228,1.0
2,0.0,1.498101265822785,7.050699648593314,7.050699648593314,1.0
2,0.0,1.5259493670886077,7.315265946762473,7.315265946762473,1.0
2,0.0,1.5537974683544307,7.584704960343706,7.584704960343706,1.0
2,0.0,1.5816455696202534,7.859016689337012,7.859016689337012,1.0
2,0.0,1.609493670886076,8.138201133742392,8.138201133742392,1.0
2,0.0,1.637341772151899,8.422258293559844,8.422258293559844,1.0
2,0.0,1.6651898734177217,8.71118816878937,8.71118816878937,1.0
