cross_ratio_abs_minus_one,cross_ratio_imag,cross_ratio_real,expected_angle_degrees,laguerre_angle_degrees,line_l_degrees,line_m_degrees,mod_pi_error
0.0,-0.10452846326765307,-0.9945218953682734,92.99999999999999,92.99999999999997,17.0,109.99999999999999,2.220446049250313e-16
1.1102230246251565e-16,-0.15643446504023062,-0.9876883405951377,94.5,94.49999999999999,17.0,111.5,2.220446049250313e-16
1.1102230246251565e-16,-0.20791169081775887,-0.9781476007338056,96.0,95.99999999999999,17.0,113.0,2.220446049250313e-16
1.1102230246251565e-16,-0.25881904510252013,-0.9659258262890683,97.49999999999999,97.49999999999997,17.0,114.49999999999999,2.220446049250313e-16
1.1102230246251565e-16,-0.30901699437494773,-0.9510565162951534,99.00000000000001,99.00000000000001,17.0,116.00000000000001,0.0
0.0,-0.3583679495452999,-0.933580426497202,100.5,100.49999999999999,17.0,117.5,2.220446049250313e-16
2.220446049250313e-16,-0.4067366430758,-0.9135454576426012,102.0,101.99999999999999,17.0,119.0,2.220446049250313e-16
0.0,-0.4539904997395471,-0.8910065241883677,103.50000000000001,103.50000000000001,17.0,120.50000000000001,0.0
0.0,-0.4999999999999997,-0.8660254037844389,105.0,104.99999999999999,17.0,122.0,2.220446049250313e-16
0.0,-0.544639035015027,-0.8386705679454243,106.5,106.49999999999999,17.0,123.5,2.220446049250313e-16
0.0,-0.5877852522924734,-0.8090169943749472,108.00000000000001,108.0,17.0,125.00000000000001,2.220446049250313e-16
0.0,-0.6293203910498373,-0.777145961456971,109.5,109.5,17.0,126.5,0.0
1.1102230246251565e-16,-0.6691306063588582,-0.743144825477394,111.0,111.0,17.0,128.0,0.0
0.0,-0.7071067811865478,-0.7071067811865472,112.50000000000001,112.50000000000001,17.0,129.5,0.0
0.0,-0.7431448254773941,-0.6691306063588585,114.0,114.0,17.0,131.0,0.0
2.220446049250313e-16,-0.7771459614569708,-0.6293203910498373,115.49999999999999,115.49999999999999,17.0,132.5,0.0
0.0,-0.8090169943749476,-0.587785252292473,117.0,117.0,17.0,134.0,0.0
1.1102230246251565e-16,-0.8386705679454238,-0.5446390350150273,118.49999999999999,118.49999999999999,17.0,135.5,0.0
1.1102230246251565e-16,-0.8660254037844385,-0.5000000000000001,119.99999999999999,119.99999999999999,17.0,137.0,0.0
